"start","stop","width"
1,1,1
2,2,1
3,8,6
9,13,5
14,19,6
20,25,6
26,26,1
27,27,1
28,28,1
29,29,1
30,30,1
31,31,1
32,33,2
34,34,1
35,36,2
37,38,2
39,40,2
41,42,2
43,46,4
47,47,1
48,48,1
49,50,2
51,52,2
53,54,2
55,56,2
57,57,1
58,58,1
59,59,1
60,60,1
61,61,1
62,65,4
66,66,1
67,67,1
68,74,7
75,75,1
76,82,7
83,83,1
84,90,7
91,91,1
92,95,4
96,97,2
98,98,1
99,99,1
100,103,4
104,104,1
105,105,1
106,107,2
108,109,2
110,110,1
111,112,2
113,114,2
115,115,1
116,116,1
117,117,1
118,118,1
119,120,2
121,121,1
122,122,1
123,123,1
124,124,1
125,125,1
126,126,1
127,127,1
128,128,1
129,131,3
132,132,1
133,135,3
136,138,3
139,139,1
140,142,3
143,143,1
144,147,4
148,148,1
149,153,5
154,154,1
155,159,5
160,164,5
165,169,5
170,174,5
175,179,5
180,184,5
185,185,1
186,186,1
187,187,1
188,188,1
189,189,1
190,190,1
191,191,1
192,192,1
193,193,1
194,194,1
195,195,1
196,196,1
197,197,1
198,198,1
199,199,1
200,200,1
201,201,1
202,205,4
206,209,4
210,210,1
211,212,2
213,214,2
215,216,2
217,218,2
219,219,1
220,221,2
222,222,1
223,224,2
225,226,2
227,227,1
228,228,1
229,229,1
230,230,1
231,231,1
232,232,1
233,234,2
235,237,3
238,241,4
242,245,4
246,249,4
250,250,1
251,257,7
258,258,1
259,265,7
266,266,1
267,273,7
274,274,1
275,281,7
282,282,1
283,289,7
290,290,1
291,297,7
298,298,1
299,305,7
306,306,1
307,313,7
314,314,1
315,316,2
317,320,4
321,324,4
325,333,9
334,342,9
343,348,6
349,349,1
350,350,1
351,351,1
352,352,1
353,353,1
354,354,1
355,355,1
356,356,1
357,357,1
358,358,1
359,359,1
360,360,1
361,361,1
362,362,1
363,363,1
364,364,1
365,365,1
366,366,1
367,367,1
368,368,1
369,369,1
370,370,1
371,371,1
372,372,1
373,373,1
374,374,1
375,375,1
376,376,1
377,377,1
378,378,1
379,379,1
380,380,1
381,381,1
382,382,1
383,383,1
384,405,22
406,408,3
409,411,3
412,414,3
415,417,3
418,418,1
419,419,1
420,420,1
421,421,1
422,422,1
423,424,2
425,428,4
429,429,1
