"","start","stop","width","varname"
"1",1,1,1,"V_1"
"2",2,2,1,"V_2"
"3",3,8,6,"V_3.8"
"4",9,13,5,"V_9.13"
"5",14,19,6,"V_14.19"
"7",20,25,6,"V_20.25"
"8",26,26,1,"V_26"
"9",27,27,1,"V_27"
"10",28,28,1,"V_28"
"11",29,29,1,"V_29"
"12",30,30,1,"V_30"
"13",31,31,1,"V_31"
"14",32,32,1,"V_32"
"16",33,34,2,"V_33.34"
"17",35,35,1,"V_35"
"18",36,37,2,"V_36.37"
"19",38,39,2,"V_38.39"
"20",40,40,1,"V_40"
"21",41,41,1,"V_41"
"23",42,42,1,"V_42"
"24",43,43,1,"V_43"
"25",44,45,2,"V_44.45"
"26",46,46,1,"V_46"
"27",47,47,1,"V_47"
"28",48,48,1,"V_48"
"29",49,49,1,"V_49"
"30",50,50,1,"V_50"
"32",51,51,1,"V_51"
"33",52,52,1,"V_52"
"34",53,53,1,"V_53"
"35",54,54,1,"V_54"
"36",55,55,1,"V_55"
"37",56,57,2,"V_56.57"
"39",58,62,5,"V_58.62"
"41",63,63,1,"V_63"
"42",64,65,2,"V_64.65"
"43",66,67,2,"V_66.67"
"45",68,69,2,"V_68.69"
"46",70,71,2,"V_70.71"
"47",72,72,1,"V_72"
"48",73,74,2,"V_73.74"
"50",75,79,5,"V_75.79"
"51",80,80,1,"V_80"
"52",81,82,2,"V_81.82"
"53",83,88,6,"V_83.88"
"54",89,97,9,"V_89.97"
"55",98,99,2,"V_98.99"
"57",100,100,1,"V_100"
"58",101,101,1,"V_101"
"59",102,102,1,"V_102"
"60",103,103,1,"V_103"
"61",104,104,1,"V_104"
"62",105,105,1,"V_105"
"63",106,106,1,"V_106"
"64",107,107,1,"V_107"
"65",108,108,1,"V_108"
"66",109,112,4,"V_109.112"
"67",113,113,1,"V_113"
