"start","stop","width"
1,1,1
2,2,1
3,8,6
9,13,5
14,19,6
20,25,6
26,26,1
27,27,1
28,28,1
29,29,1
30,30,1
31,31,1
32,33,2
34,34,1
35,36,2
37,38,2
39,40,2
41,42,2
43,46,4
47,47,1
48,48,1
49,50,2
51,52,2
53,54,2
55,56,2
57,57,1
58,58,1
59,59,1
60,60,1
61,61,1
62,65,4
66,66,1
67,67,1
68,74,7
75,75,1
76,82,7
83,83,1
84,90,7
91,91,1
92,95,4
96,97,2
98,98,1
99,99,1
100,103,4
104,104,1
105,105,1
106,107,2
108,109,2
110,110,1
111,112,2
113,114,2
115,115,1
116,116,1
117,117,1
118,118,1
119,120,2
121,121,1
122,122,1
123,123,1
124,124,1
125,125,1
126,126,1
127,127,1
128,128,1
129,131,3
132,132,1
133,135,3
136,138,3
139,139,1
140,142,3
143,143,1
144,147,4
148,148,1
149,153,5
154,154,1
155,158,4
159,162,4
163,166,4
167,170,4
171,174,4
175,179,5
180,180,1
181,181,1
182,182,1
183,183,1
184,184,1
185,185,1
186,186,1
187,187,1
188,188,1
189,189,1
190,190,1
191,191,1
192,192,1
193,193,1
194,194,1
195,195,1
196,196,1
197,200,4
201,204,4
205,205,1
206,207,2
208,209,2
210,211,2
212,213,2
214,214,1
215,216,2
217,217,1
218,219,2
220,221,2
222,222,1
223,223,1
224,224,1
225,225,1
226,226,1
227,227,1
228,229,2
230,232,3
233,236,4
237,240,4
241,244,4
245,245,1
246,251,6
252,252,1
253,258,6
259,259,1
260,265,6
266,266,1
267,272,6
273,273,1
274,279,6
280,280,1
281,286,6
287,287,1
288,293,6
294,294,1
295,300,6
301,301,1
302,303,2
304,307,4
308,311,4
312,320,9
321,329,9
330,335,6
336,336,1
337,337,1
338,338,1
339,339,1
340,340,1
341,341,1
342,342,1
343,343,1
344,344,1
345,345,1
346,346,1
347,347,1
348,348,1
349,349,1
350,350,1
351,351,1
352,352,1
353,353,1
354,354,1
355,355,1
356,356,1
357,357,1
358,358,1
359,359,1
360,360,1
361,361,1
362,362,1
363,363,1
364,364,1
365,365,1
366,366,1
367,367,1
368,368,1
369,369,1
370,370,1
371,372,2
373,373,1
