"start","stop","width"
1,1,1
2,2,1
3,8,6
9,13,5
14,18,5
19,24,6
25,25,1
26,26,1
27,27,1
28,29,2
30,30,1
31,32,2
33,34,2
35,36,2
37,38,2
39,39,1
40,40,1
41,42,2
43,44,2
45,46,2
47,48,2
49,49,1
50,50,1
51,51,1
52,52,1
53,53,1
54,55,2
56,56,1
57,57,1
58,64,7
65,65,1
66,72,7
73,73,1
74,80,7
81,81,1
82,85,4
86,87,2
88,88,1
89,89,1
90,93,4
94,94,1
95,95,1
96,97,2
98,99,2
100,100,1
101,102,2
103,103,1
104,104,1
105,106,2
107,107,1
108,108,1
109,109,1
110,110,1
111,111,1
112,112,1
113,113,1
114,114,1
115,117,3
118,118,1
119,121,3
122,124,3
125,125,1
126,128,3
129,129,1
130,133,4
134,134,1
135,139,5
140,140,1
141,141,1
142,142,1
143,143,1
144,144,1
145,145,1
146,146,1
147,147,1
148,148,1
149,149,1
150,150,1
151,151,1
152,152,1
153,153,1
154,155,2
156,156,1
157,158,2
159,160,2
161,161,1
162,162,1
163,166,4
167,167,1
168,169,2
170,171,2
172,173,2
174,175,2
176,176,1
177,178,2
179,179,1
180,181,2
182,183,2
184,184,1
185,185,1
186,186,1
187,187,1
188,188,1
189,189,1
190,190,1
191,192,2
193,195,3
196,199,4
200,203,4
204,206,3
207,210,4
211,213,3
214,214,1
215,220,6
221,221,1
222,227,6
228,228,1
229,234,6
235,235,1
236,241,6
242,242,1
243,248,6
249,249,1
250,255,6
256,256,1
257,262,6
263,263,1
264,269,6
270,270,1
271,271,1
272,273,2
274,277,4
278,281,4
282,290,9
291,299,9
300,305,6
306,311,6
312,312,1
313,313,1
314,314,1
315,315,1
316,317,2
318,318,1
319,319,1
320,320,1
321,327,7
328,332,5
333,336,4
337,337,1
338,339,2
340,346,7
347,347,1
348,348,1
349,349,1
350,350,1
351,351,1
352,352,1
353,353,1
354,354,1
355,355,1
356,356,1
357,357,1
358,358,1
359,359,1
360,360,1
361,361,1
362,362,1
363,363,1
364,364,1
365,365,1
366,366,1
367,367,1
368,368,1
369,369,1
370,370,1
371,371,1
372,372,1
373,373,1
374,374,1
375,375,1
376,376,1
377,377,1
378,378,1
379,379,1
380,380,1
381,381,1
382,383,2
384,384,1
