start,stop,width
1,1,1
2,2,1
3,3,1
4,4,1
5,5,1
6,7,2
8,11,4
12,12,1
13,13,1
14,15,2
16,16,1
17,17,1
18,18,1
19,19,1
20,20,1
21,22,2
23,23,1
24,24,1
25,25,1
26,30,5
31,31,1
32,32,1
33,36,4
37,38,2
39,40,2
41,42,2
43,43,1
44,45,2
46,47,2
48,48,1
49,49,1
50,53,4
54,54,1
55,60,6
61,66,6
67,72,6
73,249,177
250,250,1
251,256,6
257,270,14
