start,stop,width
1,1,1
2,2,1
3,3,1
4,4,1
5,5,1
6,7,2
8,8,1
9,9,1
10,10,1
11,12,2
13,14,2
15,15,1
16,16,1
17,17,1
18,18,1
19,20,2
21,21,1
22,22,1
23,23,1
24,24,1
25,26,2
27,27,1
28,28,1
29,29,1
30,30,1
31,31,1
32,35,4
36,37,2
38,39,2
40,46,7
47,48,2
49,50,2
51,52,2
53,54,2
55,55,1
56,57,2
58,59,2
60,60,1
61,64,4
65,66,2
67,72,6
73,78,6
79,84,6
85,161,77
162,162,1
163,168,6
169,324,156
