"start","stop","width"
2,2,1
3,8,6
9,13,5
14,19,6
20,25,6
26,26,1
27,27,1
28,28,1
29,29,1
30,30,1
31,31,1
32,33,2
34,34,1
35,56,22
57,58,2
59,60,2
61,62,2
63,64,2
65,68,4
69,69,1
70,70,1
71,72,2
73,74,2
75,76,2
77,78,2
79,79,1
80,80,1
81,81,1
82,82,1
83,83,1
84,87,4
88,88,1
89,89,1
90,96,7
97,97,1
98,104,7
105,105,1
106,112,7
113,113,1
114,117,4
118,119,2
120,123,4
124,127,4
128,129,2
130,130,1
131,131,1
132,135,4
136,136,1
137,137,1
138,139,2
140,141,2
142,142,1
143,144,2
145,146,2
147,147,1
148,148,1
149,149,1
150,150,1
151,152,2
153,153,1
154,154,1
155,155,1
156,156,1
157,157,1
158,158,1
159,159,1
160,160,1
161,164,4
165,165,1
166,169,4
170,173,4
174,174,1
175,178,4
179,179,1
180,184,5
185,185,1
186,190,5
191,191,1
192,196,5
197,201,5
202,206,5
207,211,5
212,216,5
217,221,5
222,222,1
223,223,1
224,224,1
225,225,1
226,226,1
227,227,1
228,228,1
229,229,1
230,230,1
231,231,1
232,232,1
233,233,1
234,234,1
235,235,1
236,236,1
237,237,1
238,240,3
241,241,1
242,243,2
244,244,1
245,245,1
246,246,1
247,250,4
251,254,4
255,255,1
256,257,2
258,259,2
260,261,2
262,263,2
264,265,2
266,266,1
267,268,2
269,269,1
270,271,2
272,273,2
274,274,1
275,275,1
276,276,1
277,278,2
279,279,1
280,280,1
281,281,1
282,282,1
283,284,2
285,287,3
288,291,4
292,295,4
296,299,4
300,300,1
301,307,7
308,308,1
309,315,7
316,316,1
317,323,7
324,324,1
325,331,7
332,332,1
333,339,7
340,340,1
341,347,7
348,348,1
349,355,7
356,356,1
357,363,7
364,364,1
365,366,2
367,370,4
371,374,4
375,375,1
376,376,1
377,385,9
386,394,9
395,400,6
401,401,1
402,402,1
403,403,1
404,404,1
405,405,1
406,406,1
407,407,1
408,408,1
409,409,1
410,410,1
411,411,1
412,412,1
413,413,1
414,414,1
415,415,1
416,416,1
417,417,1
418,418,1
419,419,1
420,420,1
421,421,1
422,422,1
423,423,1
424,424,1
425,425,1
426,426,1
427,427,1
428,428,1
429,432,4
433,433,1
